city,country,latitude,longitude,year,month,pm25_ugm3,no2_ugm3,data_quality,measurement_method,data_source
Los Angeles,USA,34.0522,-118.2437,1999,4,53.68,26.69,Good,Reference/Equivalent Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2000,2,56.92,51.95,Good,Reference/Equivalent Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2000,6,56.19,69.27,Good,Reference/Equivalent Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2001,3,56.9,41.09,Poor,Reference/Equivalent Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2001,4,54.98,65.81,Good,Reference/Equivalent Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2001,5,51.77,42.26,Good,Reference/Equivalent Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2002,2,52.1,51.89,Good,Reference/Equivalent Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2003,3,56.22,52.22,Moderate,Reference/Equivalent Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2004,3,56.64,21.09,Moderate,Reference/Equivalent Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2005,4,63.17,54.73,Good,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2005,5,51.18,24.5,Good,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2006,3,57.61,29.04,Good,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2006,5,56.19,45.43,Poor,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2007,5,52.13,25.17,Good,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2008,4,58.22,53.05,Moderate,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2008,6,52.54,49.94,Moderate,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2009,5,50.28,43.1,Good,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2011,6,54.11,38.81,Good,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2012,5,56.15,49.74,Good,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2012,6,53.94,56.53,Good,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2014,4,61.05,37.04,Good,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2016,6,52.18,32.78,Good,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2017,2,54.88,23.97,Good,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2018,3,58.27,39.3,Poor,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2018,4,56.82,30.72,Moderate,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2018,6,51.41,64.71,Moderate,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2019,3,60.28,41.34,Poor,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2020,5,53.85,56.96,Good,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2021,4,61.73,55.67,Good,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2022,6,55.1,37.51,Good,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2023,5,56.51,52.78,Good,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2024,4,57.61,49.04,Good,Federal Reference Method,EPA_AQS
Los Angeles,USA,34.0522,-118.2437,2025,2,51.07,52.79,Good,Federal Reference Method,EPA_AQS
Chicago,USA,41.8781,-87.6298,2015,4,51.27,43.09,Moderate,Federal Reference Method,EPA_AQS
Houston,USA,29.7604,-95.3698,1999,4,54.04,52.21,Poor,Reference/Equivalent Method,EPA_AQS
Houston,USA,29.7604,-95.3698,2000,5,50.33,50.81,Moderate,Reference/Equivalent Method,EPA_AQS
Houston,USA,29.7604,-95.3698,2004,3,52.72,32.8,Good,Reference/Equivalent Method,EPA_AQS
Houston,USA,29.7604,-95.3698,2005,4,54.64,42.48,Good,Federal Reference Method,EPA_AQS
Houston,USA,29.7604,-95.3698,2006,4,52.83,52.24,Good,Federal Reference Method,EPA_AQS
Houston,USA,29.7604,-95.3698,2009,5,51.96,27.87,Good,Federal Reference Method,EPA_AQS
Houston,USA,29.7604,-95.3698,2015,5,51.52,46.68,Poor,Federal Reference Method,EPA_AQS
Houston,USA,29.7604,-95.3698,2017,4,57.22,54.99,Good,Federal Reference Method,EPA_AQS
Houston,USA,29.7604,-95.3698,2018,4,56.3,41.49,Good,Federal Reference Method,EPA_AQS
Houston,USA,29.7604,-95.3698,2021,3,55.3,27.69,Good,Federal Reference Method,EPA_AQS
Houston,USA,29.7604,-95.3698,2022,3,51.16,50.55,Good,Federal Reference Method,EPA_AQS
Houston,USA,29.7604,-95.3698,2023,4,56.55,26.32,Good,Federal Reference Method,EPA_AQS
