Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Daily meals frequency,Physical exercise,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,Name of Exercise,Sets,Reps,Benefit,Burns Calories (per 30 min),Target Muscle Group,Equipment Needed,Difficulty Level,Body Part,Type of Muscle,Workout,BMI_calc,cal_from_macros,pct_carbs,protein_per_kg,pct_HRR,pct_maxHR,cal_balance,lean_mass_kg,expected_burn,Burns Calories (per 30 min)_bc,Burns_Calories_Bin
34.91,Male,65.27,1.62,188.58,157.65,69.05,1.0,1080.9,Strength,26.800377179186803,1.5,3.99,2.01,24.87,2.99,0.01,267.68,106.05,71.63,1806.0,Grilled Vegan Lunch,Lunch,Vegan,31.77,1729.94,285.05,120.47,Grilled,16.24,110.79,1.31,Decline Push-ups,4.99,20.91,Improves shoulder health and posture,342.58,"Shoulders, Triceps",Cable Machine,Advanced,Legs,Lats,Dumbbell flyes,24.8704465782655,2139.59,0.5004323258194326,1.624789336601808,0.7412365096628462,0.8359847279669106,725.0999999999999,47.77739381514478,685.16,7.260425438142023e+19,Medium
23.37,Female,56.41,1.55,179.43,131.75,73.18,1.37,1809.91,HIIT,27.65502094955822,1.9,4.0,2.01,23.48,3.01,0.97,214.32,85.41,56.97,1577.0,Fried Vegetarian Lunch,Lunch,Vegetarian,12.34,693.08,300.61,109.15,Fried,16.47,12.01,1.92,Bear Crawls,4.01,16.15,Strengthens lower abs,357.16,"Back, Core, Shoulders",Step or Box,Intermediate,Chest,Lats,Lateral raises,23.479708636836623,1711.65,0.5008500569625799,1.5140932458783904,0.5512470588235293,0.7342696316112133,-232.91000000000008,40.8098026823542,978.6184000000002,1.02050570044361e+20,High
33.2,Female,58.98,1.67,175.04,123.95,54.96,0.91,802.26,Cardio,24.32082112410528,1.88,2.99,1.02,21.15,1.99,-0.02,246.04,98.11,65.48,1608.0,Boiled Paleo Breakfast,Breakfast,Paleo,42.81,2142.48,215.42,399.43,Boiled,54.35,6.09,4.7,Dips,5.0,21.9,Builds chest strength,359.63,"Quadriceps, Glutes",Step or Box,Intermediate,Arms,Grip Strength,Standing calf raises,21.148122915844954,1965.92,0.5006104012370798,1.6634452356731095,0.5745336442371753,0.708123857404022,805.74,44.63557970100271,654.5266,1.0796070881410969e+20,High
38.69,Female,93.78,1.7,191.21,155.1,50.07,1.1,1450.79,HIIT,32.81357178608907,2.5,3.99,1.99,32.45,3.0,0.04,203.22,80.84,54.56,2657.0,Fried Paleo Lunch,Lunch,Paleo,9.34,123.2,9.7,314.31,Fried,27.73,103.72,4.85,Mountain Climbers,4.01,16.92,Improves coordination and cardiovascular health,351.65,"Biceps, Forearms",Parallel Bars or Chair,Advanced,Shoulders,Upper,Incline dumbbell flyes,32.44982698961938,1627.28,0.499532962981171,0.8620174877372574,0.7441547399744933,0.811150044453742,1206.21,63.00743237900567,773.63,8.987921156899057e+19,High
45.09,Male,52.42,1.88,193.58,152.88,70.84,1.08,1166.4,Strength,17.307318603384633,2.91,4.0,2.0,14.83,3.0,3.0,332.79,133.05,88.43,1470.0,Baked Vegan Breakfast,Breakfast,Vegan,23.78,1935.11,116.89,99.22,Baked,34.16,46.55,3.07,Bicep Curls,4.99,15.01,Targets obliques and improves core rotation,329.36,"Chest, Triceps",Wall,Advanced,Abs,Wrist Flexors,Military press,14.831371661385244,2659.2300000000005,0.5005809952505048,2.538153376573827,0.6684047580250936,0.7897510073354684,303.5999999999999,43.34750358810577,711.4176000000001,5.264684819918977e+19,Low
53.19,Female,105.05,1.84,176.52,130.6,61.84,0.69,453.33,Yoga,32.04906403773502,2.91,3.02,1.0,31.03,2.99,-0.04,170.86,67.92,46.06,2767.0,Steamed Keto Snack,Snack,Keto,15.89,2382.39,36.38,416.54,Steamed,20.98,54.64,3.38,Leg Press,4.0,25.1,Builds explosive power,374.56,"Core, Obliques",Resistance Band or Cable Machine,Beginner,Arms,Wrist Flexors,Skull crushers,31.02847353497164,1369.66,0.4989851495991706,0.6465492622560686,0.5995814440181373,0.7398595060049852,2313.67,71.38245822835935,516.8928,1.505159478350823e+20,Very High
23.17,Male,58.41,1.78,184.75,140.9,58.01,1.67,1953.9,Strength,20.54629200523472,2.71,4.96,3.0,18.44,2.02,-0.03,280.33,112.35,74.97,1867.0,Fried Low-Carb Breakfast,Breakfast,Low-Carb,12.48,2220.46,56.69,289.93,Fried,52.43,46.08,3.81,Thrusters,5.01,25.04,Strengthens back and improves posture,328.94,Core,None or Dumbbells,Advanced,Shoulders,Wrist Flexors,Barbell rows,18.435172326726423,2245.45,0.4993742902313567,1.923472008217771,0.6540160959444533,0.7626522327469554,-86.90000000000009,46.4089108397424,1098.6596,5.21010619370904e+19,Low
55.92,Female,84.07,1.63,183.87,141.12,51.79,1.01,727.81,Yoga,32.08817620708069,2.88,3.97,2.01,31.64,2.99,0.0,262.57,105.41,70.37,2191.0,Raw Low-Carb Snack,Snack,Low-Carb,2.87,1501.99,74.7,487.67,Raw,38.57,36.64,3.16,Turkish Get-ups,4.97,18.95,Improves core stability and upper body strength,363.56,"Back, Biceps",Pull-up Bar,Intermediate,Back,Lower,Hammer curl,31.6421393353156,2105.25,0.4988861180382377,1.2538360889734743,0.6763325257419746,0.767498776309349,1463.19,57.093470262707264,734.3912,1.179845981806973e+20,Very High
24.11,Female,88.58,1.79,176.78,154.07,65.19,1.76,2062.37,Strength,27.36724576855457,3.49,4.01,3.02,27.65,3.0,0.02,173.08,69.44,45.91,2587.0,Boiled Vegan Lunch,Lunch,Vegan,0.72,293.36,188.26,123.56,Boiled,45.85,14.31,2.81,Glute Bridges,3.99,24.1,Full body workout,349.51,"Upper Chest, Triceps",Barbell,Beginner,Chest,Middle,Russian twists,27.645828781873224,1383.27,0.5004952033948543,0.7839241363738992,0.7964871404247692,0.871535241543161,524.6300000000001,64.33809369821437,1230.2752,8.55076051981236e+19,High
39.19,Female,50.32,1.6,166.88,128.04,49.91,1.17,1157.25,Strength,21.90937914793248,2.49,2.0,1.0,19.66,3.01,0.02,191.06,76.76,50.71,1247.0,Grilled Paleo Lunch,Lunch,Paleo,50.02,757.93,291.34,415.04,Grilled,18.95,26.51,1.6,Step-ups,4.02,16.09,Builds chest strength,326.31,"Core, Lower Back",Low Bar or TRX,Intermediate,Forearms,Lower Chest,Towel pull-up,19.65625,1527.67,0.5002651096113689,1.5254372019077902,0.6679490467641275,0.7672579098753595,89.75,39.29520041276037,763.5654,4.879493878779312e+19,Low
