Age,Gender,Weight (kg),protein_per_kg
34.91,Male,65.27,1.624789336601808
38.69,Female,93.78,0.8620174877372574
53.19,Female,105.05,0.6465492622560686
55.92,Female,84.07,1.2538360889734743
24.11,Female,88.58,0.7839241363738992
50.51,Male,86.37,1.189301840916985
47.77,Female,83.89,1.1118130885683633
19.0,Male,82.66,0.8661988870070166
27.39,Female,71.79,1.1504387797743418
18.86,Female,95.12,1.2495794785534062
37.14,Male,76.48,1.215873430962343
18.93,Male,72.56,1.202728776185226
46.0,Male,60.05,1.6552872606161533
37.06,Female,73.04,1.6515607886089811
50.23,Female,86.72,1.198224169741697
30.9,Female,76.77,1.1625635013677218
24.03,Female,88.29,0.783667459508438
54.03,Female,87.22,1.3574868149506996
25.11,Female,105.44,0.7567336874051594
39.05,Male,102.34,1.0915575532538595
44.1,Female,89.6,1.4376116071428573
57.07,Female,76.9,1.076853055916775
31.63,Male,126.53,0.9703627598198056
37.51,Male,76.59,0.9977803890847368
39.98,Male,79.99,1.1812726590823852
25.49,Female,127.55,0.9250490003920032
27.19,Male,88.2,1.340022675736961
41.1,Female,77.05,1.5036988968202467
36.02,Female,109.87,1.1117684536270138
33.07,Male,102.83,1.12029563356997
37.35,Female,88.65,1.934912577552172
21.24,Female,80.78,0.7920277296360485
25.76,Female,70.53,1.2177796682262867
52.62,Female,84.36,1.1868183973447133
30.75,Female,76.83,1.627098789535338
39.14,Female,71.32,1.4223219293325855
26.92,Male,87.68,1.8689552919708028
45.05,Male,63.63,1.4057834354864058
58.04,Female,109.54,1.1214168340332298
56.29,Female,125.88,0.953844931680966
50.13,Female,70.32,1.7015073947667807
56.77,Male,85.56,0.941912108461898
33.93,Female,64.38,1.320130475302889
18.77,Male,60.51,1.3445711452652451
28.33,Female,69.13,1.4740344278894837
31.96,Male,97.49,1.1256539132218688
38.76,Male,85.97,1.1578457601488892
18.0,Female,64.01,1.3371348226839557
18.0,Female,62.43,1.3897164824603556
30.47,Male,87.22,1.33558816785141
36.85,Male,76.15,1.0021011162179907
18.8,Female,127.92,0.7288930581613507
41.04,Female,82.17,1.2970670561032007
42.15,Female,60.3,1.3359867330016584
28.23,Male,79.51,1.0550874103886303
43.07,Male,66.62,1.755779045331732
26.92,Male,103.9,1.1690086621751683
43.35,Male,82.51,1.3581384074657616
40.03,Female,62.99,2.3222733767264643
19.32,Male,73.18,1.206477179557256
51.69,Female,70.91,1.298547454519814
32.54,Female,62.21,1.4078122488345926
34.09,Male,66.37,1.2653307217116168
58.17,Male,109.07,1.1269826716787386
25.05,Female,64.4,1.2857142857142856
36.43,Male,69.06,1.476107732406603
18.16,Male,73.38,1.0327064595257565
47.62,Male,68.77,1.7865348262323688
37.42,Male,102.84,1.1123103850641771
30.09,Male,61.25,1.300734693877551
24.35,Male,60.21,1.480484969274207
27.59,Female,86.65,1.2625504904789382
25.12,Male,76.46,1.269291132618363
41.88,Male,76.57,1.023638500718297
34.01,Female,111.91,1.002412653024752
18.05,Female,126.66,0.93857571451129
31.65,Male,126.44,0.9737424865548876
40.05,Female,70.05,1.5954318344039973
56.81,Female,81.51,1.114709851551957
38.21,Male,70.74,1.809018942606729
55.91,Female,88.72,0.8815374211000901
25.22,Male,104.98,0.7606210706801295
45.12,Male,89.7,1.2614269788182833
18.85,Female,85.21,1.4687243281305014
52.28,Male,82.15,1.0790018259281802
20.31,Female,76.43,1.053251341096428
30.19,Female,77.76,1.4670781893004117
55.55,Male,62.72,0.9778380102040816
32.36,Male,84.33,0.8769121309142655
29.82,Female,121.23,0.7945228078858367
33.47,Male,64.49,1.5143433090401612
32.93,Male,74.13,0.9650613786591126
55.19,Male,70.54,1.242557414233059
55.16,Male,86.69,1.1733763986618988
22.25,Male,61.76,1.9779792746113989
56.94,Male,122.07,0.6585565659048087
23.04,Female,79.31,1.1388223427058377
38.73,Male,61.49,1.476825500081314
57.41,Male,108.85,1.1231970601745522
57.39,Male,75.84,1.4413238396624473
39.67,Female,76.94,1.456329607486353
