gender,study_hours,attendance_pct,math_score,reading_score,final_score
male,1.7,83.6,62.0,91.0,38.9
,2.6,91.2,82.0,60.0,37.5
female,2.9,97.5,69.0,57.0,35.0
female,4.8,85.7,78.0,62.0,36.5
male,3.9,-10.0,64.0,95.0,30.9
male,1.4,93.7,77.0,72.0,39.0
male,,87.1,95.0,78.0,43.4
femle,,70.6,59.0,70.0,32.8
female,2.7,74.7,68.0,71.0,35.3
female,4.2,92.4,63.0,66.0,35.0
male,4.7,67.9,94.0,73.0,40.1
,4.6,86.2,63.0,78.0,36.9
femle,,95.0,59.0,92.0,39.7
male,,86.5,61.0,50.0,30.8
male,3.9,79.0,68.0,91.0,39.8
male,4.7,76.5,58.0,78.0,34.9
male,2.9,93.2,64.0,68.0,35.7
female,3.3,89.7,72.0,65.0,36.5
female,2.2,150.0,68.0,85.0,45.6
male,2.1,95.7,82.0,75.0,41.0
female,,93.5,65.0,54.0,33.1
male,5.1,102.9,67.0,76.0,38.9
male,3.4,90.7,74.0,86.0,41.0
male,4.7,83.4,104.0,82.0,45.5
female,3.9,83.6,58.0,64.0,32.9
female,2.7,65.7,99.0,56.0,37.5
male,3.9,86.5,52.0,68.0,32.7
female,5.3,84.8,73.0,111.0,45.4
female,,71.7,65.0,53.0,30.8
male,5.4,84.7,58.0,62.0,32.4
female,0.4,98.4,80.0,77.0,41.3
male,4.5,77.7,79.0,71.0,37.7
male,3.6,75.4,63.0,70.0,34.0
,,96.0,39.0,96.0,36.6
,3.6,91.3,64.0,62.0,34.2
femle,1.1,115.6,72.0,72.0,40.3
male,3.2,71.8,70.0,74.0,36.1
male,3.9,92.2,81.0,62.0,38.0
female,5.3,88.2,99.0,55.0,39.6
female,2.9,85.6,76.0,75.0,38.8
male,2.5,94.1,79.0,94.0,43.9
female,2.9,84.7,72.0,77.0,38.3
male,4.6,65.6,88.0,73.0,38.7
,3.9,76.5,78.0,73.0,37.8
male,2.9,200.0,81.0,69.0,50.0
female,4.1,96.7,97.0,86.0,46.3
male,3.6,81.3,73.0,66.0,36.0
female,4.7,90.0,66.0,56.0,33.3
female,2.7,112.8,77.0,53.0,37.2
male,3.1,84.7,87.0,73.0,40.5
,3.0,84.9,78.0,85.0,40.9
female,1.7,86.9,86.0,75.0,40.8
,3.9,91.1,60.0,68.0,34.7
femle,3.8,81.5,57.0,78.0,35.0
female,3.5,91.1,62.0,74.0,36.3
,3.2,300.0,51.0,82.0,56.6
male,1.8,88.4,72.0,88.0,40.8
male,3.0,85.5,64.0,61.0,33.4
male,3.1,82.8,88.0,44.0,34.8
male,,80.2,51.0,68.0,31.7
