text,sentiment
"@United flight was delayed for 3 hours, worst experience ever",negative
"Loved the service on @Delta, crew was super friendly!",positive
"@AmericanAir lost my luggage again, so disappointed",negative
Smooth boarding and on-time arrival. Great job @SouthwestAir,positive
The seats were uncomfortable but staff was polite,neutral
"@JetBlue flight attendants were rude, not flying again",negative
"Got a free upgrade to business class, thank you @United!",positive
"Average flight, nothing special to mention",neutral
@DeltaAirLines provided excellent support with my booking,positive
The in-flight entertainment was not working,negative
Snacks were good but the legroom was terrible,negative
@SouthwestAir always makes flying fun!,positive
Check-in process was quick and easy,positive
Customer service kept me on hold for 40 minutes,negative
"Flight was okay, staff were fine, nothing to complain",neutral
"Super smooth landing, kudos to the pilot",positive
I missed my connection because of their delay,negative
@AmericanAir helped me rebook my flight quickly,positive
Cabin was clean and comfortable,positive
"They refused to change my seat, very unhelpful",negative
"Just an ordinary flight, everything was normal",neutral
Loved the new in-flight menu options,positive
Baggage claim took forever,negative
Polite crew but very noisy cabin,neutral
@UnitedAirlines app kept crashing during check-in,negative
"Had extra legroom and free snacks, amazing!",positive
Boarding was chaotic and disorganized,negative
Comfortable seats and great WiFi on board,positive
Staff did their best despite the delay,neutral
Worst airline experience in years,negative
